meanWidth,length,startpt_x,startpt_y,endpt_x,endpt_y
127.45588,1184.36,644542.91,2694326,645340.91,2693812.58
686.37091,1307.30,652465.91,2694297,653235.41,2695095.08
741.00000,1492.13,666972.41,2693271,668169.41,2692558.58
525.51404,637.97,668596.91,2692701,668967.41,2693185.58
360.49966,1172.55,671161.91,2691932,671275.91,2690877.08
114.00000,1367.16,671332.91,2690564,671617.91,2689338.08
901.24915,4340.10,676776.41,2683724,676377.41,2679619.58
434.09906,1557.72,676804.91,2669303,676804.91,2667792.08
686.37091,2985.93,688033.91,2665683,690513.41,2665939.58
570.00000,3082.40,697296.41,2674404,699918.41,2674546.58
629.58557,749.94,697638.41,2674718,698208.41,2674974.08
251.34525,50502.87,716220.41,2646645,743893.91,2619969.08
1190.19495,1220.61,734802.41,2646560,734745.41,2645362.58
1656.92639,887.55,734745.41,2645363,735514.91,2645362.58
688.78178,1595.16,745062.41,2643482,745318.91,2642056.58
127.45588,1467.33,745318.91,2643453,745318.91,2642056.58
161.22034,3486.64,749023.91,2642199,751246.91,2639833.58
855.00000,3252.21,762162.41,2634903,765154.91,2635017.08
1630.23987,1613.04,768859.91,2635901,770142.41,2635102.58
967.32202,1125.33,772222.91,2636100,772393.91,2637154.58
3911.46289,5582.50,785959.91,2631312,789379.91,2627179.58
1584.76404,2326.73,799725.41,2623532,801150.41,2625184.58
2527.77824,15931.07,803002.91,2620197,811353.41,2609851.58
1296.57740,12049.48,821470.91,2600874,831702.41,2597340.08
104.03302,4038.75,640780.91,2696520,643402.91,2694724.58
127.45588,3502.14,642519.41,2697062,643402.91,2694724.58
127.45588,1305.27,643402.91,2694725,644542.91,2694325.58
127.45588,1100.88,644542.91,2694326,645340.91,2693812.58
205.51642,1070.36,645340.91,2693813,646281.41,2693841.08
1504.84314,2314.58,650128.91,2694668,651696.41,2694012.08
360.49966,911.16,651696.41,2694012,652465.91,2694297.08
360.49966,1260.08,651696.41,2694012,652465.91,2694297.08
686.37091,3439.07,650185.91,2694725,653235.41,2695095.08
1004.47371,16068.47,653235.41,2695095,666972.41,2693271.08
525.51404,486.53,668169.41,2692559,668596.91,2692701.08
497.95588,2619.48,668169.41,2692559,669679.91,2690848.58
886.71185,2313.74,666972.41,2693271,668967.41,2693185.58
525.51404,1527.54,669052.91,2692416,669850.91,2691219.08
254.91176,441.33,669850.91,2691219,669679.91,2690848.58
664.72852,1321.97,669850.91,2691219,671019.41,2690848.58
360.49966,268.31,671019.41,2690849,671275.91,2690877.08
360.49966,384.33,671275.91,2690877,671332.91,2690563.58
114.00000,572.03,671019.41,2690849,671332.91,2690563.58
452.40589,2687.45,669679.91,2690849,671617.91,2689338.08
557.28996,4487.00,671617.91,2689338,674952.41,2687314.58
975.15622,6889.10,675208.91,2673093,676804.91,2667792.08
1641.16455,1003.58,676804.91,2667792,677631.41,2667421.58
1708.09900,10471.86,671418.41,2687229,676377.41,2679619.58
1359.12181,7057.73,676377.41,2679620,675208.91,2673093.08
901.24915,3097.07,676092.41,2685833,676776.41,2683723.58
901.24915,2456.24,676092.41,2685833,676776.41,2683723.58
80.61017,5562.25,675208.91,2673093,676804.91,2669302.58
434.09906,2149.65,676804.91,2669303,678372.41,2668276.58
471.60486,6139.51,680908.91,2669075,685668.41,2666310.08
483.66101,1056.53,685525.91,2665313,685668.41,2666310.08
445.18424,875.75,685668.41,2666310,686437.91,2666566.58
445.18424,2238.02,686437.91,2666567,688261.91,2665996.58
422.09212,1392.80,686437.91,2666567,687549.41,2667165.08
399.00000,2480.69,687549.41,2667165,689230.91,2666595.08
240.48023,4760.20,687549.41,2667165,691282.91,2669103.08
127.45588,2071.07,691539.41,2669958,692736.41,2671326.08
396.15645,4180.07,692707.91,2667536,692736.41,2671326.08
597.46006,2080.01,692736.41,2671326,694218.41,2672608.58
791.86926,572.03,694218.41,2672609,694731.41,2672523.08
122.24559,4547.70,694731.41,2672523,698778.41,2671582.58
791.86926,2507.51,694218.41,2672609,696042.41,2673976.58
205.51642,2130.09,694731.41,2672523,696042.41,2673976.58
629.58557,709.64,697638.41,2674718,698208.41,2674974.08
205.51642,1431.08,696042.41,2673977,697296.41,2674404.08
570.00000,488.55,697296.41,2674404,697638.41,2674717.58
80.61017,2034.47,698208.41,2674974,699918.41,2674546.58
806.10175,3033.15,699918.41,2674547,702084.41,2673178.58
322.44067,1997.37,714909.41,2647728,716220.41,2646645.08
322.44067,1895.18,715194.41,2648099,716220.41,2646645.08
1046.38086,550.44,715251.41,2650464,715023.41,2650008.08
1046.38086,526.83,715080.41,2650920,715251.41,2650464.08
1046.38086,607.44,714567.41,2651148,715080.41,2650920.08
2128.16943,3465.89,731980.91,2646959,734745.41,2645362.58
80.61017,11867.17,721435.91,2649638,731980.91,2646958.58
2128.16943,3643.81,731980.91,2646959,734802.41,2646559.58
1656.92639,1642.38,734802.41,2646560,735514.91,2645362.58
754.21463,10987.72,735514.91,2645363,745062.41,2643481.58
1250.10767,315.53,745062.41,2643482,745318.91,2643453.08
206.22794,1376.94,745318.91,2642057,746202.41,2641429.58
254.91176,2508.35,745575.41,2643453,746202.41,2641429.58
161.22034,1978.65,747484.91,2643083,749023.91,2642199.08
161.22034,2235.99,747484.91,2643083,749023.91,2642199.08
254.91176,5823.64,746202.41,2641430,751246.91,2639833.58
741.00000,8697.10,751246.91,2639834,758314.91,2635900.58
403.05087,4994.27,758314.91,2635901,762162.41,2634903.08
855.00000,4680.42,761392.91,2635929,765154.91,2635017.08
1716.48044,25677.58,766693.91,2634561,785959.91,2631312.08
4059.42432,4719.40,783223.91,2634875,785959.91,2631312.08
1425.00000,3868.59,767605.91,2635017,770142.41,2635102.58
1425.00000,1619.96,767605.91,2635017,768859.91,2635900.58
1773.42370,13616.64,772222.91,2636100,783223.91,2634874.58
1461.02466,2517.29,770142.41,2635103,772222.91,2636100.08
1630.23987,4349.39,768859.91,2635901,772393.91,2637154.58
2579.52539,13042.93,772393.91,2637155,783223.91,2634874.58
241.83050,12114.24,781285.91,2627123,788695.91,2626267.58
241.83050,1345.58,789379.91,2627180,788695.91,2626267.58
1584.76404,3178.52,801235.91,2622477,803914.91,2622847.58
1550.56763,3423.56,792856.91,2621337,795678.41,2620054.58
1370.37292,3220.85,794965.91,2622933,795678.41,2620054.58
1799.91064,7178.99,795678.41,2620055,801948.41,2620653.08
1584.76404,2119.13,801235.91,2622477,801948.41,2620653.08
1584.76404,1947.29,799725.41,2623532,801235.91,2622477.08
4024.45825,12756.75,789921.41,2626724,801150.41,2625184.58
2234.66162,1243.38,801948.41,2620653,803002.91,2620197.08
2234.66162,2196.87,803002.91,2620197,804798.41,2621166.08
2268.93393,9285.33,811353.41,2609852,817110.41,2603268.08
3641.76025,5641.18,817110.41,2603268,821470.91,2600874.08
3641.76025,6017.06,817110.41,2603268,821470.91,2600874.08
205.51642,4435.73,646281.41,2693841,650128.91,2694667.58
251.95285,4684.47,646281.41,2693841,650185.91,2694724.58
667.16785,80.61,650185.91,2694725,650128.91,2694667.58
360.49966,797.16,668967.41,2693186,669622.91,2692957.58
360.49966,2004.29,669622.91,2692958,671161.91,2691931.58
525.51404,574.05,668596.91,2692701,669052.91,2692416.08
525.51404,844.38,669052.91,2692416,669622.91,2692957.58
360.49966,6801.92,671161.91,2691932,674952.41,2687314.58
593.12458,1987.59,674952.41,2687315,676092.41,2685832.58
1304.24329,1345.58,677631.41,2667422,678372.41,2668276.58
322.44067,2531.96,714367.91,2649894,714909.41,2647728.08
1098.65914,6700.22,679569.41,2666196,685525.91,2665312.58
714.20795,2873.96,685525.91,2665313,688033.91,2665683.08
714.20795,407.94,688033.91,2665683,688261.91,2665996.58
650.22537,1216.91,688261.91,2665997,689230.91,2666595.08
613.90875,1577.63,689230.91,2666595,690513.41,2665939.58
127.45588,1112.69,691282.91,2669103,691539.41,2669958.08
144.33811,1048.77,691282.91,2669103,691539.41,2669958.08
80.61017,1360.25,714567.41,2651148,714367.91,2649894.08
1251.40637,3005.84,690513.41,2665940,692707.91,2667535.58
712.41517,7944.30,692707.91,2667536,698778.41,2671582.58
1264.92670,4037.92,698778.41,2671583,702084.41,2673178.58
894.95340,29537.92,702084.41,2673179,714567.41,2651148.08
322.44067,488.55,715194.41,2648099,714909.41,2647728.08
1046.38086,7621.51,715080.41,2650920,721435.91,2649637.58
1046.38086,7396.37,715251.41,2650464,721435.91,2649637.58
127.45588,702.72,715023.41,2650008,714367.91,2649894.08
241.83050,2027.55,715023.41,2650008,715194.41,2648098.58
1767.91907,280.11,745318.91,2643453,745575.41,2643453.08
254.91176,2157.41,745575.41,2643453,747484.91,2643082.58
403.05087,1344.74,761392.91,2635929,762162.41,2634903.08
1088.98340,3420.35,758314.91,2635901,761392.91,2635929.08
855.00000,1798.71,765154.91,2635017,766693.91,2634561.08
855.00000,1100.88,766693.91,2634561,767605.91,2635017.08
708.25413,8562.01,788695.91,2626268,792856.91,2621337.08
1550.56763,4023.25,801150.41,2625185,803914.91,2622847.58
4024.45825,4524.44,791232.41,2624843,794965.91,2622933.08
1584.76404,5101.85,794965.91,2622933,799725.41,2623531.58
4024.45825,730.38,789379.91,2627180,789921.41,2626723.58
1550.56763,2047.46,803914.91,2622848,804798.41,2621166.08
3126.32812,14931.89,804798.41,2621166,811353.41,2609851.58
1641.16455,2469.23,677631.41,2667422,679569.41,2666196.08
254.91176,2609.70,678372.41,2668277,679569.41,2666196.08
4024.45825,4178.39,791232.41,2624843,792856.91,2621337.08
4024.45825,2457.42,789921.41,2626724,791232.41,2624842.58
