,START_pt,END_pt,Width,length
0,155,150,127.45588,1184.36
1,153,162,686.37091,1307.3
2,148,142,741.0,1492.13
3,143,147,525.51404,637.97
4,139,136,360.49966,1172.55
5,131,129,114.0,1367.16
6,123,121,901.24915,4340.1
7,101,95,434.09906,1557.72
8,80,82,686.37091,2985.93
9,114,116,570.0,3082.4
10,118,119,629.58557,749.94
11,65,5,251.34525,50502.87
12,64,61,1190.19495,1220.61
13,61,62,1656.92639,887.55
14,58,51,688.78178,1595.16
15,55,51,127.45588,1467.33
16,52,47,161.22034,3486.64
17,33,34,855.0,3252.21
18,41,37,1630.23987,1613.04
19,43,45,967.32202,1125.33
20,29,28,3911.46289,5582.5
21,17,21,1584.76404,2326.73
22,8,4,2527.77824,15931.07
23,1,0,1296.5774,12049.48
24,163,160,104.03302,4038.75
25,164,160,127.45588,3502.14
26,160,155,127.45588,1305.27
27,155,150,127.45588,1100.88
28,150,151,205.51642,1070.36
29,157,152,1504.84314,2314.58
30,152,153,360.49966,911.16
31,152,153,360.49966,1260.08
32,161,162,686.37091,3439.07
33,162,148,1004.47371,16068.47
34,142,143,525.51404,486.53
35,142,134,497.95588,2619.48
36,148,147,886.71185,2313.74
37,140,137,525.51404,1527.54
38,137,134,254.91176,441.33
39,137,135,664.72852,1321.97
40,135,136,360.49966,268.31
41,136,131,360.49966,384.33
42,135,131,114.0,572.03
43,134,129,452.40589,2687.45
44,129,128,557.28996,4487.0
45,109,95,975.15622,6889.1
46,95,92,1641.16455,1003.58
47,126,121,1708.099,10471.86
48,121,109,1359.12181,7057.73
49,125,123,901.24915,3097.07
50,125,123,901.24915,2456.24
51,109,101,80.61017,5562.25
52,101,97,434.09906,2149.65
53,98,86,471.60486,6139.51
54,79,86,483.66101,1056.53
55,86,88,445.18424,875.75
56,88,84,445.18424,2238.02
57,88,90,422.09212,1392.8
58,90,89,399.0,2480.69
59,90,99,240.48023,4760.2
60,102,103,127.45588,2071.07
61,94,103,396.15645,4180.07
62,103,108,597.46006,2080.01
63,108,106,791.86926,572.03
64,106,105,122.24559,4547.7
65,108,113,791.86926,2507.51
66,106,113,205.51642,2130.09
67,118,119,629.58557,709.64
68,113,114,205.51642,1431.08
69,114,118,570.0,488.55
70,119,116,80.61017,2034.47
71,116,111,806.10175,3033.15
72,68,65,322.44067,1997.37
73,70,65,322.44067,1895.18
74,75,74,1046.38086,550.44
75,76,75,1046.38086,526.83
76,77,76,1046.38086,607.44
77,67,61,2128.16943,3465.89
78,72,67,80.61017,11867.17
79,67,64,2128.16943,3643.81
80,64,62,1656.92639,1642.38
81,62,58,754.21463,10987.72
82,58,55,1250.10767,315.53
83,51,49,206.22794,1376.94
84,56,49,254.91176,2508.35
85,54,52,161.22034,1978.65
86,54,52,161.22034,2235.99
87,49,47,254.91176,5823.64
88,47,40,741.0,8697.1
89,40,33,403.05087,4994.27
90,42,34,855.0,4680.42
91,30,29,1716.48044,25677.58
92,32,29,4059.42432,4719.4
93,35,37,1425.0,3868.59
94,35,41,1425.0,1619.96
95,43,32,1773.4237,13616.64
96,37,43,1461.02466,2517.29
97,41,45,1630.23987,4349.39
98,45,32,2579.52539,13042.93
99,26,23,241.8305,12114.24
100,28,23,241.8305,1345.58
101,12,14,1584.76404,3178.52
102,11,7,1550.56763,3423.56
103,15,7,1370.37292,3220.85
104,7,9,1799.91064,7178.99
105,12,9,1584.76404,2119.13
106,17,12,1584.76404,1947.29
107,25,21,4024.45825,12756.75
108,9,8,2234.66162,1243.38
109,8,10,2234.66162,2196.87
110,4,2,2268.93393,9285.33
111,2,1,3641.76025,5641.18
112,2,1,3641.76025,6017.06
113,151,157,205.51642,4435.73
114,151,161,251.95285,4684.47
115,161,157,667.16785,80.61
116,147,145,360.49966,797.16
117,145,139,360.49966,2004.29
118,143,140,525.51404,574.05
119,140,145,525.51404,844.38
120,139,128,360.49966,6801.92
121,128,125,593.12458,1987.59
122,92,97,1304.24329,1345.58
123,73,68,322.44067,2531.96
124,85,79,1098.65914,6700.22
125,79,80,714.20795,2873.96
126,80,84,714.20795,407.94
127,84,89,650.22537,1216.91
128,89,82,613.90875,1577.63
129,99,102,127.45588,1112.69
130,99,102,144.33811,1048.77
131,77,73,80.61017,1360.25
132,82,94,1251.40637,3005.84
133,94,105,712.41517,7944.3
134,105,111,1264.9267,4037.92
135,111,77,894.9534,29537.92
136,70,68,322.44067,488.55
137,76,72,1046.38086,7621.51
138,75,72,1046.38086,7396.37
139,74,73,127.45588,702.72
140,74,70,241.8305,2027.55
141,55,56,1767.91907,280.11
142,56,54,254.91176,2157.41
143,42,33,403.05087,1344.74
144,40,42,1088.9834,3420.35
145,34,30,855.0,1798.71
146,30,35,855.0,1100.88
147,23,11,708.25413,8562.01
148,21,14,1550.56763,4023.25
149,19,15,4024.45825,4524.44
150,15,17,1584.76404,5101.85
151,28,25,4024.45825,730.38
152,14,10,1550.56763,2047.46
153,10,4,3126.32812,14931.89
154,92,85,1641.16455,2469.23
155,97,85,254.91176,2609.7
156,19,11,4024.45825,4178.39
157,25,19,4024.45825,2457.42
